Name,Client Number,Open Date,Status,Client Originating Attorney
Broadcom,100095,2020-12-12,Active,Jamie Patel
Broadridge Financial Solutions,100096,2021-01-13,Active,Morgan Blake
Brown & Brown,100097,2022-02-14,Pending,Jordan Lee
Brown–Forman,100098,2023-03-15,Closed,Riley Chen
Builders FirstSource,100099,2024-04-16,On Hold,Taylor Brooks
Bunge Global,100100,2015-05-17,Active,Casey Nguyen
"BXP, Inc.",100101,2016-06-18,Active,Alex Rivera
C.H. Robinson,100102,2017-07-19,Pending,Sam Okonkwo
Cadence Design Systems,100103,2018-08-20,Closed,Jamie Patel
Camden Property Trust,100104,2019-09-21,On Hold,Morgan Blake
Campbell's Company (The),100105,2020-10-22,Active,Jordan Lee
Capital One,100106,2021-11-23,Active,Riley Chen
Carnival,100107,2022-12-24,Pending,Taylor Brooks
Carrier Global,100108,2023-01-25,Closed,Casey Nguyen
Carvana,100109,2024-02-26,On Hold,Alex Rivera
Casey's,100110,2015-03-27,Active,Sam Okonkwo
Cboe Global Markets,100111,2016-04-28,Active,Jamie Patel
CBRE Group,100112,2017-05-01,Pending,Morgan Blake
CDW Corporation,100113,2018-06-02,Closed,Jordan Lee
Cencora,100114,2019-07-03,On Hold,Riley Chen
Centene Corporation,100115,2020-08-04,Active,Taylor Brooks
CenterPoint Energy,100116,2021-09-05,Active,Casey Nguyen
CF Industries,100117,2022-10-06,Pending,Alex Rivera
Charles River Laboratories,100118,2023-11-07,Closed,Sam Okonkwo
Charles Schwab Corporation,100119,2024-12-08,On Hold,Jamie Patel
Charter Communications,100120,2015-01-09,Active,Morgan Blake
Chipotle Mexican Grill,100121,2016-02-10,Active,Jordan Lee
Chubb Limited,100122,2017-03-11,Pending,Riley Chen
Church & Dwight,100123,2018-04-12,Closed,Taylor Brooks
Ciena,100124,2019-05-13,On Hold,Casey Nguyen
Cincinnati Financial,100125,2020-06-14,Active,Alex Rivera
Cintas,100126,2021-07-15,Active,Sam Okonkwo
Citizens Financial Group,100127,2022-08-16,Pending,Jamie Patel
Clorox,100128,2023-09-17,Closed,Morgan Blake
CME Group,100129,2024-10-18,On Hold,Jordan Lee
CMS Energy,100130,2015-11-19,Active,Riley Chen
Coca-Cola Company (The),100131,2016-12-20,Active,Taylor Brooks
Cognizant,100132,2017-01-21,Pending,Casey Nguyen
Coherent Corp.,100133,2018-02-22,Closed,Alex Rivera
Coinbase,100134,2019-03-23,On Hold,Sam Okonkwo
Comfort Systems USA,100135,2020-04-24,Active,Jamie Patel
Conagra Brands,100136,2021-05-25,Active,Morgan Blake
ConocoPhillips,100137,2022-06-26,Pending,Jordan Lee
Consolidated Edison,100138,2023-07-27,Closed,Riley Chen
Constellation Brands,100139,2024-08-28,On Hold,Taylor Brooks
Constellation Energy,100140,2015-09-01,Active,Casey Nguyen
Cooper Companies (The),100141,2016-10-02,Active,Alex Rivera
Copart,100142,2017-11-03,Pending,Sam Okonkwo
Corning Inc.,100143,2018-12-04,Closed,Jamie Patel
Corpay,100144,2019-01-05,On Hold,Morgan Blake
Corteva,100145,2020-02-06,Active,Jordan Lee
CoStar Group,100146,2021-03-07,Active,Riley Chen
Coterra,100147,2022-04-08,Pending,Taylor Brooks
CRH plc,100148,2023-05-09,Closed,Casey Nguyen
CrowdStrike,100149,2024-06-10,On Hold,Alex Rivera
Crown Castle,100150,2015-07-11,Active,Sam Okonkwo
CSX Corporation,100151,2016-08-12,Active,Jamie Patel
Cummins,100152,2017-09-13,Pending,Morgan Blake
Danaher Corporation,100153,2018-10-14,Closed,Jordan Lee
Darden Restaurants,100154,2019-11-15,On Hold,Riley Chen
Datadog,100155,2020-12-16,Active,Taylor Brooks
DaVita,100156,2021-01-17,Active,Casey Nguyen
Deckers Brands,100157,2022-02-18,Pending,Alex Rivera
Deere & Company,100158,2023-03-19,Closed,Sam Okonkwo
Dell Technologies,100159,2024-04-20,On Hold,Jamie Patel
Delta Air Lines,100160,2015-05-21,Active,Morgan Blake
Devon Energy,100161,2016-06-22,Active,Jordan Lee
Dexcom,100162,2017-07-23,Pending,Riley Chen
Diamondback Energy,100163,2018-08-24,Closed,Taylor Brooks
Digital Realty,100164,2019-09-25,On Hold,Casey Nguyen
Dollar General,100165,2020-10-26,Active,Alex Rivera
Dollar Tree,100166,2021-11-27,Active,Sam Okonkwo
Dominion Energy,100167,2022-12-28,Pending,Jamie Patel
Domino's,100168,2023-01-01,Closed,Morgan Blake
DoorDash,100169,2024-02-02,On Hold,Jordan Lee
Dover Corporation,100170,2015-03-03,Active,Riley Chen
Dow Inc.,100171,2016-04-04,Active,Taylor Brooks
D. R. Horton,100172,2017-05-05,Pending,Casey Nguyen
DTE Energy,100173,2018-06-06,Closed,Alex Rivera
Duke Energy,100174,2019-07-07,On Hold,Sam Okonkwo
DuPont,100175,2020-08-08,Active,Jamie Patel
Eaton Corporation,100176,2021-09-09,Active,Morgan Blake
eBay Inc.,100177,2022-10-10,Pending,Jordan Lee
EchoStar,100178,2023-11-11,Closed,Riley Chen
Ecolab,100179,2024-12-12,On Hold,Taylor Brooks
Edison International,100180,2015-01-13,Active,Casey Nguyen
Edwards Lifesciences,100181,2016-02-14,Active,Alex Rivera
Electronic Arts,100182,2017-03-15,Pending,Sam Okonkwo
Elevance Health,100183,2018-04-16,Closed,Jamie Patel
Emcor,100184,2019-05-17,On Hold,Morgan Blake
Emerson Electric,100185,2020-06-18,Active,Jordan Lee
Entergy,100186,2021-07-19,Active,Riley Chen
EOG Resources,100187,2022-08-20,Pending,Taylor Brooks
EPAM Systems,100188,2023-09-21,Closed,Casey Nguyen
EQT Corporation,100189,2024-10-22,On Hold,Alex Rivera
Equifax,100190,2015-11-23,Active,Sam Okonkwo
Equinix,100191,2016-12-24,Active,Jamie Patel
Equity Residential,100192,2017-01-25,Pending,Morgan Blake
Erie Indemnity,100193,2018-02-26,Closed,Jordan Lee
Essex Property Trust,100194,2019-03-27,On Hold,Riley Chen
Estée Lauder Companies (The),100195,2020-04-28,Active,Taylor Brooks
Everest Group,100196,2021-05-01,Active,Casey Nguyen
Evergy,100197,2022-06-02,Pending,Alex Rivera
Eversource Energy,100198,2023-07-03,Closed,Sam Okonkwo
Exelon,100199,2024-08-04,On Hold,Jamie Patel
Expand Energy,100200,2015-09-05,Active,Morgan Blake
Expedia Group,100201,2016-10-06,Active,Jordan Lee
Expeditors International,100202,2017-11-07,Pending,Riley Chen
Extra Space Storage,100203,2018-12-08,Closed,Taylor Brooks
ExxonMobil,100204,2019-01-09,On Hold,Casey Nguyen
"F5, Inc.",100205,2020-02-10,Active,Alex Rivera
FactSet,100206,2021-03-11,Active,Sam Okonkwo
Fair Isaac,100207,2022-04-12,Pending,Jamie Patel
Fastenal,100208,2023-05-13,Closed,Morgan Blake
Federal Realty Investment Trust,100209,2024-06-14,On Hold,Jordan Lee
FedEx,100210,2015-07-15,Active,Riley Chen
Fidelity National Information Services,100211,2016-08-16,Active,Taylor Brooks
Fifth Third Bancorp,100212,2017-09-17,Pending,Casey Nguyen
First Solar,100213,2018-10-18,Closed,Alex Rivera
FirstEnergy,100214,2019-11-19,On Hold,Sam Okonkwo
Fiserv,100215,2020-12-20,Active,Jamie Patel
Fortinet,100216,2021-01-21,Active,Morgan Blake
Fortive,100217,2022-02-22,Pending,Jordan Lee
Fox Corporation,100218,2023-03-23,Closed,Riley Chen
Fox Corporation (Class B),100219,2024-04-24,On Hold,Taylor Brooks
Franklin Resources,100220,2015-05-25,Active,Casey Nguyen
Freeport-McMoRan,100221,2016-06-26,Active,Alex Rivera
Garmin,100222,2017-07-27,Pending,Sam Okonkwo
Gartner,100223,2018-08-28,Closed,Jamie Patel
GE Aerospace,100224,2019-09-01,On Hold,Morgan Blake
GE HealthCare,100225,2020-10-02,Active,Jordan Lee
GE Vernova,100226,2021-11-03,Active,Riley Chen
Gen Digital,100227,2022-12-04,Pending,Taylor Brooks
Generac,100228,2023-01-05,Closed,Casey Nguyen
General Dynamics,100229,2024-02-06,On Hold,Alex Rivera
General Mills,100230,2015-03-07,Active,Sam Okonkwo
General Motors,100231,2016-04-08,Active,Jamie Patel
Genuine Parts Company,100232,2017-05-09,Pending,Morgan Blake
Gilead Sciences,100233,2018-06-10,Closed,Jordan Lee
Global Payments,100234,2019-07-11,On Hold,Riley Chen
Globe Life,100235,2020-08-12,Active,Taylor Brooks
GoDaddy,100236,2021-09-13,Active,Casey Nguyen
Goldman Sachs,100237,2022-10-14,Pending,Alex Rivera
Halliburton,100238,2023-11-15,Closed,Sam Okonkwo
Hartford (The),100239,2024-12-16,On Hold,Jamie Patel
Hasbro,100240,2015-01-17,Active,Morgan Blake
HCA Healthcare,100241,2016-02-18,Active,Jordan Lee
Healthpeak Properties,100242,2017-03-19,Pending,Riley Chen
Henry Schein,100243,2018-04-20,Closed,Taylor Brooks
Hershey Company (The),100244,2019-05-21,On Hold,Casey Nguyen
Hewlett Packard Enterprise,100245,2020-06-22,Active,Alex Rivera
Hilton Worldwide,100246,2021-07-23,Active,Sam Okonkwo
Home Depot (The),100247,2022-08-24,Pending,Jamie Patel
Honeywell,100248,2023-09-25,Closed,Morgan Blake
Hormel Foods,100249,2024-10-26,On Hold,Jordan Lee
Host Hotels & Resorts,100250,2015-11-27,Active,Riley Chen
Howmet Aerospace,100251,2016-12-28,Active,Taylor Brooks
HP Inc.,100252,2017-01-01,Pending,Casey Nguyen
Hubbell Incorporated,100253,2018-02-02,Closed,Alex Rivera
Humana,100254,2019-03-03,On Hold,Sam Okonkwo
Huntington Bancshares,100255,2020-04-04,Active,Jamie Patel
Huntington Ingalls Industries,100256,2021-05-05,Active,Morgan Blake
IBM,100257,2022-06-06,Pending,Jordan Lee
IDEX Corporation,100258,2023-07-07,Closed,Riley Chen
Idexx Laboratories,100259,2024-08-08,On Hold,Taylor Brooks
Illinois Tool Works,100260,2015-09-09,Active,Casey Nguyen
Incyte,100261,2016-10-10,Active,Alex Rivera
Ingersoll Rand,100262,2017-11-11,Pending,Sam Okonkwo
Insulet Corporation,100263,2018-12-12,Closed,Jamie Patel
Intel,100264,2019-01-13,On Hold,Morgan Blake
Interactive Brokers,100265,2020-02-14,Active,Jordan Lee
Intercontinental Exchange,100266,2021-03-15,Active,Riley Chen
International Flavors & Fragrances,100267,2022-04-16,Pending,Taylor Brooks
International Paper,100268,2023-05-17,Closed,Casey Nguyen
Intuit,100269,2024-06-18,On Hold,Alex Rivera
Intuitive Surgical,100270,2015-07-19,Active,Sam Okonkwo
Invesco,100271,2016-08-20,Active,Jamie Patel
Invitation Homes,100272,2017-09-21,Pending,Morgan Blake
IQVIA,100273,2018-10-22,Closed,Jordan Lee
Iron Mountain,100274,2019-11-23,On Hold,Riley Chen
J.B. Hunt,100275,2020-12-24,Active,Taylor Brooks
Jabil,100276,2021-01-25,Active,Casey Nguyen
Jack Henry & Associates,100277,2022-02-26,Pending,Alex Rivera
Jacobs Solutions,100278,2023-03-27,Closed,Sam Okonkwo
Johnson & Johnson,100279,2024-04-28,On Hold,Jamie Patel
Johnson Controls,100280,2015-05-01,Active,Morgan Blake
JPMorgan Chase,100281,2016-06-02,Active,Jordan Lee
Kenvue,100282,2017-07-03,Pending,Riley Chen
Keurig Dr Pepper,100283,2018-08-04,Closed,Taylor Brooks
KeyCorp,100284,2019-09-05,On Hold,Casey Nguyen
Keysight Technologies,100285,2020-10-06,Active,Alex Rivera
Kimberly-Clark,100286,2021-11-07,Active,Sam Okonkwo
Kimco Realty,100287,2022-12-08,Pending,Jamie Patel
Kinder Morgan,100288,2023-01-09,Closed,Morgan Blake
KKR & Co.,100289,2024-02-10,On Hold,Jordan Lee
KLA Corporation,100290,2015-03-11,Active,Riley Chen
Kraft Heinz,100291,2016-04-12,Active,Taylor Brooks
Kroger,100292,2017-05-13,Pending,Casey Nguyen
L3Harris,100293,2018-06-14,Closed,Alex Rivera
Labcorp,100294,2019-07-15,On Hold,Sam Okonkwo
Lam Research,100295,2020-08-16,Active,Jamie Patel
Las Vegas Sands,100296,2021-09-17,Active,Morgan Blake
Leidos,100297,2022-10-18,Pending,Jordan Lee
Lennar,100298,2023-11-19,Closed,Riley Chen
Lennox International,100299,2024-12-20,On Hold,Taylor Brooks
Lilly (Eli),100300,2015-01-21,Active,Casey Nguyen
Linde plc,100301,2016-02-22,Active,Alex Rivera
Live Nation Entertainment,100302,2017-03-23,Pending,Sam Okonkwo
Lockheed Martin,100303,2018-04-24,Closed,Jamie Patel
Loews Corporation,100304,2019-05-25,On Hold,Morgan Blake
Lowe's,100305,2020-06-26,Active,Jordan Lee
Lululemon Athletica,100306,2021-07-27,Active,Riley Chen
Lumentum,100307,2022-08-28,Pending,Taylor Brooks
LyondellBasell,100308,2023-09-01,Closed,Casey Nguyen
M&T Bank,100309,2024-10-02,On Hold,Alex Rivera
Marathon Petroleum,100310,2015-11-03,Active,Sam Okonkwo
Marriott International,100311,2016-12-04,Active,Jamie Patel
Marsh McLennan,100312,2017-01-05,Pending,Morgan Blake
Martin Marietta Materials,100313,2018-02-06,Closed,Jordan Lee
Masco,100314,2019-03-07,On Hold,Riley Chen
Mastercard,100315,2020-04-08,Active,Taylor Brooks
McCormick & Company,100316,2021-05-09,Active,Casey Nguyen
McDonald's,100317,2022-06-10,Pending,Alex Rivera
McKesson Corporation,100318,2023-07-11,Closed,Sam Okonkwo
Medtronic,100319,2024-08-12,On Hold,Jamie Patel
Merck & Co.,100320,2015-09-13,Active,Morgan Blake
Meta Platforms,100321,2016-10-14,Active,Jordan Lee
MetLife,100322,2017-11-15,Pending,Riley Chen
Mettler Toledo,100323,2018-12-16,Closed,Taylor Brooks
MGM Resorts,100324,2019-01-17,On Hold,Casey Nguyen
Microchip Technology,100325,2020-02-18,Active,Alex Rivera
Micron Technology,100326,2021-03-19,Active,Sam Okonkwo
Mid-America Apartment Communities,100327,2022-04-20,Pending,Jamie Patel
Moderna,100328,2023-05-21,Closed,Morgan Blake
Molson Coors Beverage Company,100329,2024-06-22,On Hold,Jordan Lee
Mondelez International,100330,2015-07-23,Active,Riley Chen
Monolithic Power Systems,100331,2016-08-24,Active,Taylor Brooks
Monster Beverage,100332,2017-09-25,Pending,Casey Nguyen
Moody's Corporation,100333,2018-10-26,Closed,Alex Rivera
Morgan Stanley,100334,2019-11-27,On Hold,Sam Okonkwo
Mosaic Company (The),100335,2020-12-28,Active,Jamie Patel
Motorola Solutions,100336,2021-01-01,Active,Morgan Blake
MSCI Inc.,100337,2022-02-02,Pending,Jordan Lee
"Nasdaq, Inc.",100338,2023-03-03,Closed,Riley Chen
NetApp,100339,2024-04-04,On Hold,Taylor Brooks
Newmont,100340,2015-05-05,Active,Casey Nguyen
News Corp,100341,2016-06-06,Active,Alex Rivera
News Corp (Class B),100342,2017-07-07,Pending,Sam Okonkwo
NextEra Energy,100343,2018-08-08,Closed,Jamie Patel
"Nike, Inc.",100344,2019-09-09,On Hold,Morgan Blake
NiSource,100345,2020-10-10,Active,Jordan Lee
Nordson Corporation,100346,2021-11-11,Active,Riley Chen
Norfolk Southern,100347,2022-12-12,Pending,Taylor Brooks
Northern Trust,100348,2023-01-13,Closed,Casey Nguyen
Northrop Grumman,100349,2024-02-14,On Hold,Alex Rivera
Norwegian Cruise Line Holdings,100350,2015-03-15,Active,Sam Okonkwo
NRG Energy,100351,2016-04-16,Active,Jamie Patel
Nucor,100352,2017-05-17,Pending,Morgan Blake
Nvidia,100353,2018-06-18,Closed,Jordan Lee
"NVR, Inc.",100354,2019-07-19,On Hold,Riley Chen
NXP Semiconductors,100355,2020-08-20,Active,Taylor Brooks
O’Reilly Automotive,100356,2021-09-21,Active,Casey Nguyen
Occidental Petroleum,100357,2022-10-22,Pending,Alex Rivera
Old Dominion,100358,2023-11-23,Closed,Sam Okonkwo
Omnicom Group,100359,2024-12-24,On Hold,Jamie Patel
ON Semiconductor,100360,2015-01-25,Active,Morgan Blake
Oneok,100361,2016-02-26,Active,Jordan Lee
Oracle Corporation,100362,2017-03-27,Pending,Riley Chen
Otis Worldwide,100363,2018-04-28,Closed,Taylor Brooks
Paccar,100364,2019-05-01,On Hold,Casey Nguyen
Packaging Corporation of America,100365,2020-06-02,Active,Alex Rivera
Palantir Technologies,100366,2021-07-03,Active,Sam Okonkwo
Palo Alto Networks,100367,2022-08-04,Pending,Jamie Patel
Paramount Skydance Corporation,100368,2023-09-05,Closed,Morgan Blake
Parker Hannifin,100369,2024-10-06,On Hold,Jordan Lee
Paychex,100370,2015-11-07,Active,Riley Chen
PayPal,100371,2016-12-08,Active,Taylor Brooks
Pentair,100372,2017-01-09,Pending,Casey Nguyen
Pfizer,100373,2018-02-10,Closed,Alex Rivera
PG&E Corporation,100374,2019-03-11,On Hold,Sam Okonkwo
Philip Morris International,100375,2020-04-12,Active,Jamie Patel
Phillips 66,100376,2021-05-13,Active,Morgan Blake
Pinnacle West Capital,100377,2022-06-14,Pending,Jordan Lee
PNC Financial Services,100378,2023-07-15,Closed,Riley Chen
Pool Corporation,100379,2024-08-16,On Hold,Taylor Brooks
PPG Industries,100380,2015-09-17,Active,Casey Nguyen
PPL Corporation,100381,2016-10-18,Active,Alex Rivera
Principal Financial Group,100382,2017-11-19,Pending,Sam Okonkwo
Procter & Gamble,100383,2018-12-20,Closed,Jamie Patel
Progressive Corporation,100384,2019-01-21,On Hold,Morgan Blake
Prologis,100385,2020-02-22,Active,Jordan Lee
Prudential Financial,100386,2021-03-23,Active,Riley Chen
Public Service Enterprise Group,100387,2022-04-24,Pending,Taylor Brooks
PTC Inc.,100388,2023-05-25,Closed,Casey Nguyen
Public Storage,100389,2024-06-26,On Hold,Alex Rivera
PulteGroup,100390,2015-07-27,Active,Sam Okonkwo
Quanta Services,100391,2016-08-28,Active,Jamie Patel
Qualcomm,100392,2017-09-01,Pending,Morgan Blake
Quest Diagnostics,100393,2018-10-02,Closed,Jordan Lee
Qnity Electronics,100394,2019-11-03,On Hold,Riley Chen
Ralph Lauren Corporation,100395,2020-12-04,Active,Taylor Brooks
Raymond James Financial,100396,2021-01-05,Active,Casey Nguyen
RTX Corporation,100397,2022-02-06,Pending,Alex Rivera
Realty Income,100398,2023-03-07,Closed,Sam Okonkwo
Regency Centers,100399,2024-04-08,On Hold,Jamie Patel
Regeneron Pharmaceuticals,100400,2015-05-09,Active,Morgan Blake
Regions Financial Corporation,100401,2016-06-10,Active,Jordan Lee
Republic Services,100402,2017-07-11,Pending,Riley Chen
ResMed,100403,2018-08-12,Closed,Taylor Brooks
Revvity,100404,2019-09-13,On Hold,Casey Nguyen
Robinhood Markets,100405,2020-10-14,Active,Alex Rivera
Rockwell Automation,100406,2021-11-15,Active,Sam Okonkwo
"Rollins, Inc.",100407,2022-12-16,Pending,Jamie Patel
Roper Technologies,100408,2023-01-17,Closed,Morgan Blake
Ross Stores,100409,2024-02-18,On Hold,Jordan Lee
Royal Caribbean Group,100410,2015-03-19,Active,Riley Chen
S&P Global,100411,2016-04-20,Active,Taylor Brooks
Salesforce,100412,2017-05-21,Pending,Casey Nguyen
Sandisk,100413,2018-06-22,Closed,Alex Rivera
SBA Communications,100414,2019-07-23,On Hold,Sam Okonkwo
Schlumberger,100415,2020-08-24,Active,Jamie Patel
Seagate Technology,100416,2021-09-25,Active,Morgan Blake
Sempra,100417,2022-10-26,Pending,Jordan Lee
ServiceNow,100418,2023-11-27,Closed,Riley Chen
Sherwin-Williams,100419,2024-12-28,On Hold,Taylor Brooks
Simon Property Group,100420,2015-01-01,Active,Casey Nguyen
Skyworks Solutions,100421,2016-02-02,Active,Alex Rivera
J.M. Smucker Company (The),100422,2017-03-03,Pending,Sam Okonkwo
Smurfit Westrock,100423,2018-04-04,Closed,Jamie Patel
Snap-on,100424,2019-05-05,On Hold,Morgan Blake
Solventum,100425,2020-06-06,Active,Jordan Lee
Southern Company,100426,2021-07-07,Active,Riley Chen
Southwest Airlines,100427,2022-08-08,Pending,Taylor Brooks
Stanley Black & Decker,100428,2023-09-09,Closed,Casey Nguyen
Starbucks,100429,2024-10-10,On Hold,Alex Rivera
State Street Corporation,100430,2015-11-11,Active,Sam Okonkwo
Steel Dynamics,100431,2016-12-12,Active,Jamie Patel
Steris,100432,2017-01-13,Pending,Morgan Blake
Stryker Corporation,100433,2018-02-14,Closed,Jordan Lee
Supermicro,100434,2019-03-15,On Hold,Riley Chen
Synchrony Financial,100435,2020-04-16,Active,Taylor Brooks
Synopsys,100436,2021-05-17,Active,Casey Nguyen
Sysco,100437,2022-06-18,Pending,Alex Rivera
T-Mobile US,100438,2023-07-19,Closed,Sam Okonkwo
T. Rowe Price,100439,2024-08-20,On Hold,Jamie Patel
Take-Two Interactive,100440,2015-09-21,Active,Morgan Blake
"Tapestry, Inc.",100441,2016-10-22,Active,Jordan Lee
Targa Resources,100442,2017-11-23,Pending,Riley Chen
TE Connectivity,100443,2018-12-24,Closed,Taylor Brooks
Teledyne Technologies,100444,2019-01-25,On Hold,Casey Nguyen
Teradyne,100445,2020-02-26,Active,Alex Rivera
"Tesla, Inc.",100446,2021-03-27,Active,Sam Okonkwo
Texas Instruments,100447,2022-04-28,Pending,Jamie Patel
Texas Pacific Land Corporation,100448,2023-05-01,Closed,Morgan Blake
Textron,100449,2024-06-02,On Hold,Jordan Lee
Thermo Fisher Scientific,100450,2015-07-03,Active,Riley Chen
TJX Companies,100451,2016-08-04,Active,Taylor Brooks
TKO Group Holdings,100452,2017-09-05,Pending,Casey Nguyen
Trade Desk (The),100453,2018-10-06,Closed,Alex Rivera
Tractor Supply,100454,2019-11-07,On Hold,Sam Okonkwo
Trane Technologies,100455,2020-12-08,Active,Jamie Patel
TransDigm Group,100456,2021-01-09,Active,Morgan Blake
Travelers Companies (The),100457,2022-02-10,Pending,Jordan Lee
Trimble Inc.,100458,2023-03-11,Closed,Riley Chen
Truist Financial,100459,2024-04-12,On Hold,Taylor Brooks
Tyler Technologies,100460,2015-05-13,Active,Casey Nguyen
Tyson Foods,100461,2016-06-14,Active,Alex Rivera
U.S. Bancorp,100462,2017-07-15,Pending,Sam Okonkwo
